company,company_code,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,naics_group,size_bucket,region,minority_share,urbanicity,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
MARRIOTT INTERNATIONAL HQ,L31246,M1 Baseline (60/40),race,5.2,6.743,0.1743,11.73,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.19,-11.73,9.46,,,,-1.17,,6.16,-2.52
MARRIOTT INTERNATIONAL HQ,L31246,M1 Baseline (60/40),gender,2.03,2.03,0.0144,2.03,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,2.03,,-2.03,,,,
MARRIOTT INTERNATIONAL HQ,L31246,M1 Baseline (60/40),hispanic,13.66,13.66,0.1144,13.66,Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-13.66,,,13.66,,
MARRIOTT INTERNATIONAL HQ,L31246,M2 Three-Layer (50/30/20),race,4.65,5.935,0.1692,10.13,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.19,-10.13,5.63,,,,-1.18,,8.34,-2.46
MARRIOTT INTERNATIONAL HQ,L31246,M2 Three-Layer (50/30/20),gender,1.07,1.07,0.0076,1.07,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,1.07,,-1.07,,,,
MARRIOTT INTERNATIONAL HQ,L31246,M2 Three-Layer (50/30/20),hispanic,12.95,12.95,0.1078,12.95,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-12.95,,,12.95,,
MARRIOTT INTERNATIONAL HQ,L31246,M3 IPF,race,7.06,9.542,0.2742,17.21,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.54,-17.21,7.47,,,,-1.23,,-2.19,13.7
MARRIOTT INTERNATIONAL HQ,L31246,M3 IPF,gender,7.46,7.46,0.0535,7.46,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,7.46,,-7.46,,,,
MARRIOTT INTERNATIONAL HQ,L31246,M3 IPF,hispanic,26.97,26.97,0.277,26.97,Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-26.97,,,26.97,,
MARRIOTT INTERNATIONAL HQ,L31246,M4 Occ-Weighted,race,6.43,8.04,0.1996,12.8,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.24,-12.8,11.97,,,,-1.19,,7.32,-5.07
MARRIOTT INTERNATIONAL HQ,L31246,M4 Occ-Weighted,gender,2.47,2.47,0.0176,2.47,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,2.47,,-2.47,,,,
MARRIOTT INTERNATIONAL HQ,L31246,M4 Occ-Weighted,hispanic,13.15,13.15,0.1096,13.15,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-13.15,,,13.15,,
MARRIOTT INTERNATIONAL HQ,L31246,M5 Variable-Weight,race,5.2,6.743,0.1743,11.73,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.19,-11.73,9.46,,,,-1.17,,6.16,-2.52
MARRIOTT INTERNATIONAL HQ,L31246,M5 Variable-Weight,gender,2.03,2.03,0.0144,2.03,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,2.03,,-2.03,,,,
MARRIOTT INTERNATIONAL HQ,L31246,M5 Variable-Weight,hispanic,13.66,13.66,0.1144,13.66,Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-13.66,,,13.66,,
MARRIOTT INTERNATIONAL HQ,L31246,M1b Learned-Wt,race,3.24,4.302,0.1131,8.53,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.06,-8.53,1.93,,,,-1.13,,2.68,5.11
MARRIOTT INTERNATIONAL HQ,L31246,M1b Learned-Wt,gender,0.71,0.71,0.005,0.71,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,0.71,,-0.71,,,,
MARRIOTT INTERNATIONAL HQ,L31246,M1b Learned-Wt,hispanic,15.19,15.19,0.129,15.19,Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-15.19,,,15.19,,
MARRIOTT INTERNATIONAL HQ,L31246,M2b Workplace-Tract,race,4.65,5.935,0.1692,10.13,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.19,-10.13,5.63,,,,-1.18,,8.34,-2.46
MARRIOTT INTERNATIONAL HQ,L31246,M2b Workplace-Tract,gender,1.07,1.07,0.0076,1.07,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,1.07,,-1.07,,,,
MARRIOTT INTERNATIONAL HQ,L31246,M2b Workplace-Tract,hispanic,12.95,12.95,0.1078,12.95,Not Hispanic,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,,-12.95,,,12.95,,
MARRIOTT INTERNATIONAL HQ,L31246,M3b Damp-IPF,race,4.64,6.352,0.1722,12.51,Asian,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,-0.18,-12.51,8.22,,,,-1.23,,3.17,2.53
MARRIOTT INTERNATIONAL HQ,L31246,M3b Damp-IPF,gender,7.46,7.46,0.0535,7.46,Female,Accommodation/Food Svc (72),10000+,South,High (>50%),Urban,,,,7.46,,-7.46,,,,
